"(785, 610)","(739, 511)","(683, 437)","(659, 370)","(671, 321)","(464, 497)","(359, 485)","(440, 494)","(503, 497)","(462, 543)","(357, 533)","(473, 545)","(551, 546)","(463, 588)","(381, 582)","(496, 587)","(565, 580)","(463, 626)","(393, 627)","(485, 624)","(549, 616)"
"(941, 541)","(883, 463)","(801, 400)","(758, 347)","(767, 306)","(675, 428)","(528, 430)","(580, 437)","(642, 439)","(661, 473)","(512, 471)","(562, 476)","(629, 481)","(657, 516)","(525, 510)","(574, 511)","(631, 510)","(658, 550)","(549, 546)","(595, 543)","(648, 539)"
"(810, 507)","(773, 441)","(710, 384)","(673, 332)","(675, 290)","(563, 412)","(474, 415)","(557, 425)","(611, 422)","(561, 450)","(475, 453)","(575, 461)","(627, 456)","(566, 486)","(498, 488)","(590, 490)","(637, 481)","(571, 513)","(513, 518)","(584, 516)","(631, 509)"
"(1007, 613)","(961, 447)","(798, 303)","(712, 181)","(736, 79)","(340, 365)","(134, 372)","(353, 399)","(499, 387)","(342, 460)","(159, 470)","(417, 491)","(502, 468)","(355, 545)","(217, 549)","(450, 552)","(545, 523)","(344, 604)","(229, 623)","(416, 616)","(524, 590)"
"(840, 540)","(800, 469)","(739, 407)","(707, 349)","(712, 304)","(576, 442)","(473, 443)","(563, 458)","(635, 457)","(569, 485)","(459, 485)","(567, 499)","(643, 498)","(572, 524)","(485, 525)","(583, 530)","(652, 523)","(581, 555)","(508, 559)","(580, 559)","(640, 553)"
"(886, 319)","(764, 420)","(658, 494)","(565, 560)","(505, 603)","(400, 380)","(423, 417)","(501, 431)","(564, 436)","(424, 323)","(430, 369)","(496, 389)","(561, 397)","(485, 277)","(470, 321)","(521, 337)","(585, 343)","(559, 243)","(536, 271)","(573, 286)","(611, 295)"
"(1032, 217)","(864, 375)","(676, 483)","(518, 584)","(425, 653)","(232, 332)","(297, 404)","(444, 417)","(540, 413)","(257, 239)","(281, 311)","(403, 335)","(508, 342)","(346, 160)","(346, 230)","(439, 249)","(540, 254)","(459, 98)","(465, 146)","(542, 167)","(610, 175)"
"(1015, 386)","(887, 487)","(747, 558)","(616, 617)","(519, 664)","(505, 429)","(539, 466)","(632, 478)","(697, 480)","(530, 365)","(552, 410)","(631, 428)","(702, 435)","(595, 317)","(605, 360)","(670, 374)","(737, 383)","(668, 280)","(674, 312)","(726, 328)","(769, 339)"
"(939, 393)","(806, 459)","(684, 504)","(570, 538)","(486, 563)","(550, 400)","(587, 422)","(654, 434)","(699, 441)","(594, 354)","(626, 380)","(676, 397)","(724, 407)","(667, 320)","(685, 348)","(725, 362)","(768, 373)","(743, 297)","(753, 318)","(781, 332)","(804, 341)"
"(960, 436)","(812, 494)","(690, 533)","(572, 563)","(486, 581)","(577, 416)","(598, 447)","(661, 463)","(704, 467)","(636, 373)","(645, 408)","(689, 428)","(735, 438)","(717, 346)","(716, 379)","(750, 394)","(791, 404)","(798, 329)","(792, 353)","(814, 366)","(837, 374)"
"(933, 549)","(476, 546)","(243, 472)","(216, 394)","(325, 359)","(361, 300)","(304, 322)","(335, 388)","(376, 435)","(577, 268)","(506, 307)","(522, 374)","(548, 418)","(773, 269)","(688, 309)","(693, 364)","(716, 402)","(956, 284)","(866, 304)","(873, 348)","(890, 381)"
"(624, 580)","(805, 529)","(895, 450)","(851, 379)","(738, 365)","(759, 403)","(695, 360)","(730, 417)","(771, 441)","(642, 419)","(582, 374)","(628, 441)","(665, 455)","(536, 440)","(485, 397)","(539, 455)","(582, 476)","(437, 458)","(402, 429)","(450, 466)","(493, 482)"
"(540, 596)","(817, 547)","(997, 428)","(972, 318)","(837, 277)","(807, 340)","(721, 265)","(750, 354)","(803, 394)","(625, 353)","(545, 281)","(595, 385)","(651, 408)","(461, 378)","(390, 306)","(451, 401)","(512, 436)","(310, 404)","(254, 356)","(319, 417)","(386, 444)"
"(511, 451)","(799, 381)","(951, 264)","(909, 151)","(750, 126)","(761, 191)","(685, 115)","(713, 203)","(763, 248)","(584, 207)","(513, 132)","(556, 233)","(607, 267)","(417, 232)","(348, 158)","(406, 251)","(469, 295)","(261, 258)","(208, 206)","(272, 266)","(337, 301)"
"(587, 665)","(858, 612)","(1036, 490)","(1026, 379)","(907, 323)","(839, 392)","(732, 320)","(779, 410)","(843, 443)","(657, 405)","(563, 335)","(628, 443)","(685, 462)","(497, 431)","(412, 364)","(485, 462)","(548, 492)","(351, 459)","(287, 413)","(356, 476)","(422, 500)"
"(617, 598)","(767, 529)","(766, 453)","(596, 416)","(445, 415)","(713, 380)","(757, 287)","(785, 226)","(798, 179)","(578, 394)","(564, 289)","(537, 224)","(508, 176)","(470, 425)","(377, 368)","(411, 396)","(454, 420)","(387, 464)","(329, 430)","(378, 455)","(437, 482)"
"(641, 605)","(789, 531)","(775, 451)","(592, 412)","(437, 409)","(722, 379)","(761, 283)","(787, 220)","(799, 173)","(586, 395)","(569, 288)","(539, 221)","(511, 173)","(478, 428)","(376, 368)","(408, 396)","(452, 420)","(397, 469)","(334, 433)","(385, 457)","(448, 482)"
"(807, 578)","(616, 526)","(604, 470)","(671, 440)","(742, 415)","(616, 396)","(567, 327)","(546, 286)","(539, 256)","(745, 395)","(759, 317)","(772, 270)","(783, 233)","(847, 411)","(835, 389)","(789, 422)","(770, 452)","(929, 431)","(886, 430)","(855, 454)","(851, 475)"
"(830, 570)","(699, 530)","(685, 485)","(743, 459)","(807, 438)","(665, 441)","(636, 390)","(620, 360)","(613, 337)","(761, 439)","(765, 378)","(771, 344)","(778, 317)","(846, 448)","(845, 425)","(819, 448)","(806, 469)","(912, 461)","(887, 460)","(868, 480)","(868, 497)"
"(422, 666)","(560, 632)","(637, 565)","(557, 512)","(449, 480)","(537, 451)","(566, 359)","(593, 303)","(602, 256)","(422, 455)","(409, 350)","(387, 293)","(369, 237)","(324, 477)","(258, 416)","(278, 475)","(314, 514)","(242, 512)","(181, 473)","(223, 514)","(279, 548)"
"(560, 567)","(738, 535)","(894, 470)","(1005, 419)","(1109, 385)","(712, 388)","(715, 304)","(704, 254)","(703, 206)","(592, 394)","(558, 368)","(575, 442)","(609, 485)","(479, 405)","(456, 389)","(487, 456)","(538, 491)","(377, 415)","(350, 355)","(341, 324)","(351, 282)"
"(736, 587)","(867, 553)","(967, 493)","(1038, 446)","(1108, 416)","(813, 442)","(798, 380)","(776, 343)","(759, 309)","(723, 453)","(689, 425)","(717, 477)","(748, 514)","(639, 467)","(617, 447)","(653, 496)","(696, 527)","(562, 478)","(530, 431)","(524, 407)","(528, 376)"
"(414, 395)","(554, 356)","(660, 292)","(733, 243)","(797, 206)","(491, 243)","(470, 173)","(440, 131)","(417, 93)","(395, 257)","(348, 226)","(380, 283)","(418, 323)","(305, 272)","(270, 252)","(313, 304)","(363, 334)","(221, 286)","(178, 235)","(164, 208)","(163, 173)"
"(757, 530)","(550, 515)","(427, 488)","(358, 459)","(294, 433)","(539, 403)","(535, 356)","(527, 323)","(522, 300)","(628, 398)","(617, 403)","(629, 435)","(644, 454)","(717, 403)","(690, 409)","(690, 440)","(695, 461)","(802, 406)","(786, 370)","(785, 349)","(782, 328)"
"(773, 376)","(544, 363)","(406, 332)","(323, 299)","(251, 270)","(525, 236)","(511, 187)","(498, 153)","(489, 128)","(621, 228)","(600, 233)","(614, 265)","(632, 286)","(719, 233)","(684, 240)","(685, 272)","(692, 294)","(812, 238)","(789, 199)","(783, 178)","(776, 159)"
"(733, 550)","(877, 498)","(924, 427)","(797, 381)","(656, 374)","(820, 363)","(826, 279)","(815, 224)","(796, 181)","(702, 379)","(641, 345)","(680, 412)","(721, 455)","(601, 402)","(550, 381)","(615, 439)","(664, 471)","(514, 429)","(467, 409)","(526, 446)","(574, 468)"
"(732, 545)","(843, 491)","(866, 435)","(765, 403)","(657, 402)","(774, 398)","(770, 333)","(755, 291)","(736, 259)","(685, 416)","(641, 389)","(683, 436)","(719, 470)","(607, 437)","(573, 419)","(633, 460)","(673, 486)","(539, 459)","(509, 444)","(562, 471)","(600, 489)"
"(640, 613)","(814, 558)","(892, 460)","(741, 392)","(554, 378)","(765, 365)","(774, 255)","(754, 182)","(725, 125)","(612, 382)","(525, 343)","(571, 439)","(630, 496)","(480, 410)","(395, 389)","(476, 470)","(556, 515)","(370, 444)","(289, 427)","(366, 482)","(447, 511)"
"(787, 603)","(578, 573)","(498, 520)","(535, 473)","(627, 464)","(577, 455)","(573, 373)","(571, 323)","(576, 284)","(704, 440)","(674, 442)","(660, 475)","(673, 501)","(813, 450)","(761, 462)","(742, 490)","(752, 510)","(903, 464)","(851, 478)","(836, 499)","(840, 513)"
"(704, 548)","(490, 519)","(393, 466)","(409, 413)","(492, 397)","(471, 390)","(458, 306)","(446, 255)","(444, 215)","(602, 379)","(564, 378)","(552, 413)","(567, 439)","(715, 390)","(654, 397)","(633, 430)","(648, 452)","(811, 404)","(750, 410)","(733, 433)","(745, 449)"
